  -2.6500 4.3460e+05 3.3301e+05 5.8717e+05 3.3760e+05 5.8360e+05 4.0440e+05 4.6740e+05 5.5110e+05 3.6000e+05 4.5840e+05 3.3760e+05 5.8360e+05 4.0030e+05
  -2.6400 4.3900e+05 3.3636e+05 5.9298e+05 3.4100e+05 5.8940e+05 4.0850e+05 4.7200e+05 5.5640e+05 3.6370e+05 4.6300e+05 3.4100e+05 5.8940e+05 4.0420e+05
  -2.6300 4.4330e+05 3.3974e+05 5.9871e+05 3.4440e+05 5.9510e+05 4.1260e+05 4.7660e+05 5.6180e+05 3.6730e+05 4.6770e+05 3.4440e+05 5.9510e+05 4.0820e+05
  -2.6200 4.4770e+05 3.4310e+05 6.0464e+05 3.4780e+05 6.0100e+05 4.1670e+05 4.8130e+05 5.6710e+05 3.7110e+05 4.7230e+05 3.4780e+05 6.0100e+05 4.1210e+05
  -2.6100 4.5210e+05 3.4655e+05 6.1047e+05 3.5130e+05 6.0680e+05 4.2080e+05 4.8600e+05 5.7250e+05 3.7480e+05 4.7700e+05 3.5130e+05 6.0680e+05 4.1600e+05
  -2.6000 4.5640e+05 3.4993e+05 6.1630e+05 3.5470e+05 6.1260e+05 4.2490e+05 4.9060e+05 5.7790e+05 3.7850e+05 4.8170e+05 3.5470e+05 6.1260e+05 4.2000e+05
  -2.5900 4.6090e+05 3.5326e+05 6.2221e+05 3.5810e+05 6.1850e+05 4.2900e+05 4.9530e+05 5.8330e+05 3.8220e+05 4.8650e+05 3.5810e+05 6.1850e+05 4.2390e+05
  -2.5800 4.6530e+05 3.5675e+05 6.2816e+05 3.6160e+05 6.2440e+05 4.3320e+05 5.0010e+05 5.8880e+05 3.8600e+05 4.9120e+05 3.6160e+05 6.2440e+05 4.2790e+05
  -2.5700 4.6970e+05 3.6020e+05 6.3409e+05 3.6510e+05 6.3030e+05 4.3730e+05 5.0480e+05 5.9420e+05 3.8980e+05 4.9600e+05 3.6510e+05 6.3030e+05 4.3190e+05
  -2.5600 4.7420e+05 3.6356e+05 6.4000e+05 3.6850e+05 6.3620e+05 4.4150e+05 5.0950e+05 5.9970e+05 3.9350e+05 5.0070e+05 3.6850e+05 6.3620e+05 4.3590e+05
